0.873	18.979	0.158	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.592	21.016	1.278	0.000	0.000	
0.873	21.811	0.157	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.593	38.151	1.277	0.000	0.000	
0.873	24.560	0.157	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.594	54.926	1.273	0.000	0.000	
0.874	27.176	0.155	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.596	71.130	1.266	0.000	0.000	
0.874	29.637	0.153	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.599	88.743	1.257	0.000	0.000	
0.875	31.914	0.150	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.602	104.936	1.245	0.000	0.000	
0.875	33.990	0.147	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.607	120.218	1.230	0.000	0.000	
0.876	35.835	0.143	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.612	136.118	1.213	0.000	0.000	
0.877	37.457	0.139	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.618	150.504	1.192	0.000	0.000	
0.878	38.845	0.135	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.624	163.661	1.169	0.000	0.000	
0.879	39.973	0.130	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.631	176.888	1.144	0.000	0.000	
0.880	40.870	0.125	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.639	188.477	1.116	0.000	0.000	
0.881	41.536	0.119	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.648	198.570	1.086	0.000	0.000	
0.882	41.949	0.114	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.656	208.206	1.054	0.000	0.000	
0.883	42.150	0.108	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.666	216.156	1.019	0.000	0.000	
0.885	42.149	0.102	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.675	222.451	0.983	0.000	0.000	
0.886	41.932	0.096	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.685	227.874	0.945	0.000	0.000	
0.887	41.541	0.091	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.696	231.668	0.906	0.000	0.000	
0.888	40.993	0.085	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.706	233.808	0.865	0.000	0.000	
0.889	40.281	0.079	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.716	234.852	0.824	0.000	0.000	
0.890	39.442	0.073	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.727	234.450	0.782	0.000	0.000	
0.891	38.496	0.068	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.738	232.571	0.740	0.000	0.000	
0.892	37.444	0.062	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.748	229.602	0.697	0.000	0.000	
0.893	36.311	0.057	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.758	225.482	0.655	0.000	0.000	
0.894	35.119	0.052	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.768	220.213	0.614	0.000	0.000	
0.895	33.872	0.047	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.778	214.061	0.573	0.000	0.000	
0.896	32.587	0.042	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.788	207.118	0.533	0.000	0.000	
0.896	31.284	0.037	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.797	199.438	0.494	0.000	0.000	
0.897	29.971	0.033	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.806	191.168	0.456	0.000	0.000	
0.898	28.644	0.029	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.814	182.541	0.420	0.000	0.000	
0.898	27.334	0.025	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.822	173.553	0.386	0.000	0.000	
0.899	26.042	0.021	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
0.829	164.360	0.353	0.000	0.000	
0.899	24.766	0.018	0.000	0.000	
0.900	18.000	0.000	0.000	0.000	
